%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
5.9885083  -1.0447238  1369531600   0.16935486  -0.94283521
5.9885083  -1.0447238  1369546000   0.67554444   0.30973291
5.9885083  -1.0447238  1369560400  -0.40669629   0.33685344
5.9885083  -1.0447238  1369574800   0.13464919  -0.26604855
5.9885083  -1.0447238  1369589200   0.13967150   0.60698068
5.9885083  -1.0447238  1369603600  -0.88918388  -0.05903664
5.9885083  -1.0447238  1369618000   0.19532263  -0.93602735
5.9885083  -1.0447238  1369632400   0.66157174   0.32969555
5.9885083  -1.0447238  1369646800  -0.41426796   0.32043105
5.9885083  -1.0447238  1369661200   0.15048766  -0.25987950
5.9885083  -1.0447238  1369675600   0.12121012   0.61612052
5.9885083  -1.0447238  1369690000  -0.89057934  -0.08502784
5.9885083  -1.0447238  1369704400   0.22104907  -0.92840391
5.9885083  -1.0447238  1369718800   0.64702046   0.34914345
5.9885083  -1.0447238  1369733200  -0.42117244   0.30380386
5.9885083  -1.0447238  1369747600   0.16608989  -0.25310558
5.9885083  -1.0447238  1369762000   0.10233637   0.62465566
5.9885083  -1.0447238  1369776400  -0.89116544  -0.11109508
5.9885083  -1.0447238  1369790800   0.24650791  -0.91997933
5.9885083  -1.0447238  1369805200   0.63190186   0.36805344
5.9885083  -1.0447238  1369819600  -0.42740133   0.28699517
5.9885083  -1.0447238  1369834000   0.18143386  -0.24573538
5.9885083  -1.0447238  1369848400   0.08307143   0.63257098
5.9885083  -1.0447238  1369862800  -0.89093900  -0.13721076
5.9885083  -1.0447238  1369877200   0.27167580  -0.91076541
4.4346531  -0.7981210  1368970000  -0.40126976   0.54788101
4.4346531  -0.7981210  1368984400  -0.70634234  -0.66713202
4.4346531  -0.7981210  1368998800   0.58634436  -0.66371143
4.4346531  -0.7981210  1369013200   0.26100028   0.49942243
4.4346531  -0.7981210  1369027600  -0.33717278   0.11508082
4.4346531  -0.7981210  1369042000   0.28131184   0.17831972
4.4346531  -0.7981210  1369056400  -0.42049241   0.53910691
4.4346531  -0.7981210  1369070800  -0.69125742  -0.68661094
4.4346531  -0.7981210  1369085200   0.60011399  -0.64398241
4.4346531  -0.7981210  1369099600   0.24228689   0.50648791
4.4346531  -0.7981210  1369114000  -0.33159497   0.10440313
4.4346531  -0.7981210  1369128400   0.28455874   0.19063199
4.4346531  -0.7981210  1369142800  -0.43957916   0.52971077
4.4346531  -0.7981210  1369157200  -0.67557096  -0.70562577
4.4346531  -0.7981210  1369171600   0.61324817  -0.62385702
4.4346531  -0.7981210  1369186000   0.22352162   0.51294315
4.4346531  -0.7981210  1369200400  -0.32553303   0.09395708
4.4346531  -0.7981210  1369214800   0.28726366   0.20308472
4.4346531  -0.7981210  1369229200  -0.45850766   0.51969838
4.4346531  -0.7981210  1369243600  -0.65930367  -0.72416443
4.4346531  -0.7981210  1369258000   0.62573612  -0.60335529
4.4346531  -0.7981210  1369272400   0.20472661   0.51878124
4.4346531  -0.7981210  1369286800  -0.31899729   0.08375850
4.4346531  -0.7981210  1369301200   0.28941911   0.21565965
4.4346531  -0.7981210  1369315600  -0.47725630   0.50907391
4.4346531  -0.7981210  1369330000  -0.64247054  -0.74220771
4.4346531  -0.7981210  1369344400   0.63757122  -0.58250189
4.4346531  -0.7981210  1369358800   0.18592438   0.52400732
4.4346531  -0.7981210  1369373200  -0.31199631   0.07382478
4.4346531  -0.7981210  1369387600   0.29101536   0.22833842
4.4346531  -0.7981210  1369402000  -0.49580243   0.49784273
4.4346531  -0.7981210  1369416400  -0.62508649  -0.75973886
4.4346531  -0.7981210  1369430800   0.64874470  -0.56131673
4.4346531  -0.7981210  1369445200   0.16713801   0.52862370
4.4346531  -0.7981210  1369459600  -0.30454752   0.06416930
4.4346531  -0.7981210  1369474000   0.29204530   0.24110149
4.4346531  -0.7981210  1369488400  -0.51412129   0.48600543
4.4346531  -0.7981210  1369502800  -0.60716748  -0.77673936
4.4346531  -0.7981210  1369517200   0.65924686  -0.53982180
4.4346531  -0.7981210  1369531600   0.14838850   0.53263217
4.4346531  -0.7981210  1369546000  -0.29666436   0.05480719
4.4346531  -0.7981210  1369560400   0.29250687   0.25393105
4.4346531  -0.7981210  1369574800  -0.53219235   0.47357279
4.4346531  -0.7981210  1369589200  -0.58872360  -0.79318601
4.4346531  -0.7981210  1369603600   0.66906714  -0.51803601
