%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta        A_H1         B_H1         C_H1         D_H1
2.3746697  0.3085532   0.10969452   0.23314169  -0.00190596   0.02557073
3.1404228  -0.5973466   0.16793250   0.24193026   0.00109637   0.04062675
0.8755738  -1.0258464   0.24275869   0.24867456  -0.00056040   0.06036760
4.7918702  0.4609246   0.13524686   0.22653988   0.00281085   0.03063091
0.6945159  -0.1407483   0.08666130   0.22483569   0.00152008   0.01948224
1.1005799  -0.0902922   0.08123328   0.22209220  -0.00041101   0.01804111
3.4872480  -0.7240436   0.20018820   0.24545497   0.00202953   0.04913307
3.3420382  0.2350790   0.09695809   0.23037857  -0.00302215   0.02232793
2.1020746  -1.4449011   0.26636100   0.26106369   0.00062919   0.06953679
6.1705903  -0.5806803   0.16506658   0.24191397   0.00204956   0.03992771
2.4169760  -1.0210440   0.24021150   0.25194189  -0.00289410   0.06051096
0.6618499  -0.9058123   0.22878106   0.24480480   0.00162735   0.05600405
1.6796368  -0.2841479   0.10105895   0.22323261  -0.00317224   0.02254959
1.6513609  1.0873683   0.25334531   0.26331690  -0.00221699   0.06670519
2.7974142  0.8031104   0.21197765   0.25073892   0.00060605   0.05315068
5.3910214  0.6805366   0.18344489   0.23796611   0.00370546   0.04363993
5.8197665  0.9856115   0.23507814   0.25425750   0.00201616   0.05976632
5.2062104  0.7135282   0.19053018   0.23722059   0.00307248   0.04518824
3.5761394  -0.6030684   0.17457607   0.24090517   0.00124508   0.04205473
0.2220092  -0.2871464   0.10511992   0.23105775   0.00318381   0.02427864
4.4063896  -0.0614539   0.07968780   0.22359994   0.00099581   0.01781720
4.5378193  0.9244867   0.22663693   0.24493718   0.00096068   0.05551089
3.3055445  0.0468439   0.07988724   0.22901605  -0.00225990   0.01829035
2.0914437  -0.0933910   0.07994977   0.22569019  -0.00392555   0.01802847
5.3096101  0.7399988   0.19588508   0.23909768   0.00329065   0.04682484
1.9081284  0.1508420   0.08631789   0.22738555  -0.00295589   0.01961870
5.7742651  0.2740643   0.09912722   0.23153819   0.00328827   0.02294092
1.6478914  0.0188917   0.07761045   0.22355913  -0.00270357   0.01734321
5.0103068  -0.2388555   0.09777606   0.22947900   0.00262400   0.02243067
1.6755769  0.6130722   0.17641656   0.24416217  -0.00165501   0.04307151
3.6424815  -0.7437590   0.20590116   0.24594322   0.00116597   0.05063863
1.7457070  0.2909867   0.10621544   0.23081410  -0.00227943   0.02451083
