%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
0.6618499  -0.9058123   0.19197273   0.17673549   0.00127992   0.03392676
1.6796368  -0.2841479   0.23541339   0.18188763  -0.00776070   0.04275855
1.6513609  1.0873683   0.18227150   0.18273868  -0.00057041   0.03330773
2.7974142  0.8031104   0.19752091   0.18422195  -0.00055817   0.03638738
5.3910214  0.6805366   0.19630796   0.17902164   0.00464817   0.03512177
5.8197665  0.9856115   0.17814428   0.17793532   0.00161056   0.03169556
5.2062104  0.7135282   0.19453384   0.17737050   0.00473694   0.03448213
3.5761394  -0.6030684   0.21295829   0.18548578   0.00381446   0.03948618
0.2220092  -0.2871464   0.24345462   0.18941322   0.00138215   0.04611161
4.4063896  -0.0614539   0.25092864   0.18583687   0.00563711   0.04660002
4.5378193  0.9244867   0.18510509   0.17450331   0.00308761   0.03229192
3.3055445  0.0468439   0.25096139   0.19089805  -0.00024560   0.04790798
2.0914437  -0.0933910   0.24311399   0.18657617  -0.00735200   0.04530523
5.3096101  0.7399988   0.19206518   0.17751896   0.00432796   0.03407648
1.9081284  0.1508420   0.24469240   0.18752407  -0.00638283   0.04584497
5.7742651  0.2740643   0.23191820   0.18849014   0.00410574   0.04369744
1.6478914  0.0188917   0.24785811   0.18555249  -0.00703020   0.04594127
5.0103068  -0.2388555   0.24130537   0.18779314   0.00569993   0.04528300
1.6755769  0.6130722   0.21332639   0.18739355  -0.00230215   0.03997069
3.6424815  -0.7437590   0.20233056   0.18326679   0.00347954   0.03706836
1.7457070  0.2909867   0.23873043   0.18770063  -0.00513172   0.04478352
1.9850165  0.7327846   0.20361465   0.18556310  -0.00232583   0.03777796
1.6853417  0.7387905   0.20287329   0.18654899  -0.00157565   0.03784333
1.6867534  -0.2830051   0.23541878   0.18192756  -0.00777298   0.04276875
3.7985814  -0.8711553   0.19539496   0.18115425   0.00215442   0.03539199
1.6599259  0.7166537   0.20466462   0.18676151  -0.00158973   0.03822095
1.4858717  0.0462413   0.24912080   0.18556827  -0.00647201   0.04618703
5.2632464  -0.3476697   0.23475660   0.18842426   0.00473914   0.04421138
2.0363193  1.4873982   0.17626528   0.17461452  -0.00188262   0.03077493
0.5360721  0.7099742   0.20540108   0.18372202  -0.00342351   0.03772498
5.9591384  -0.3687762   0.23456322   0.18999261   0.00292836   0.04455670
6.1443507  -0.0898219   0.24809931   0.19148499   0.00225750   0.04750220
6.2012111  -0.9013715   0.18984590   0.18293315   0.00101998   0.03472807
3.1538350  -0.5418597   0.21197844   0.18707453   0.00195010   0.03965196
3.7115811  0.3593687   0.24004631   0.18586349   0.00021306   0.04461580
0.0637095  -0.6126937   0.21460499   0.18661602   0.00241397   0.04004290
4.1112137  0.1450198   0.25128582   0.18508014   0.00436811   0.04648893
2.4543856  -0.5149089   0.21026358   0.18358782  -0.00467156   0.03858001
3.8636306  -0.6601471   0.21127327   0.18437566   0.00266495   0.03894655
1.1144842  1.1367382   0.18289803   0.17974359   0.00191399   0.03287108
2.8275893  -0.3858447   0.22322890   0.18822829  -0.00185432   0.04201456
1.3284950  -1.1821133   0.17522284   0.17376894  -0.00179955   0.03044505
6.0220180  -0.3676237   0.23488292   0.19006109   0.00281671   0.04463417
0.5439090  0.1748070   0.24838842   0.18898052  -0.00313437   0.04693075
6.1750366  -0.5961881   0.21550231   0.18739991   0.00216161   0.04038044
3.0481005  -0.7524950   0.19267459   0.18388191   0.00140236   0.03542741
2.7308967  -1.0299674   0.17679900   0.17784184  -0.00131960   0.03144052
4.4880776  0.5869522   0.21312594   0.17764629   0.00531197   0.03783282
1.9054545  -0.2430363   0.23615898   0.18350191  -0.00785975   0.04327385
3.2490915  -0.0824079   0.24811295   0.19098659   0.00024046   0.04738619
4.3407271  1.0599414   0.18030246   0.17360432   0.00212671   0.03129676
2.7946567  0.0431899   0.24688280   0.19126123  -0.00342417   0.04720738
5.4166118  0.2902344   0.23070684   0.18556339   0.00662311   0.04276688
5.3382644  0.8553932   0.18455859   0.17596632   0.00323851   0.03246561
3.2122858  0.6472800   0.21134393   0.18609975  -0.00239115   0.03932534
0.1752134  -1.1300850   0.17851353   0.17867599   0.00180075   0.03189284
1.2704935  -0.1991175   0.24586408   0.18297833  -0.00626674   0.04494853
3.3989323  0.2192503   0.24748525   0.18972255  -0.00082373   0.04695285
2.9640454  -0.2266692   0.23743363   0.19033435  -0.00122132   0.04519028
1.9366198  0.1816279   0.24362054   0.18778193  -0.00615160   0.04570969
3.1358894  -0.6168678   0.20488830   0.18602689   0.00200198   0.03811072
0.3806528  -0.1908003   0.24960609   0.18911721  -0.00005524   0.04720480
3.6985536  0.3085449   0.24376848   0.18659464   0.00043606   0.04548570
1.3754408  -0.3808839   0.23172721   0.18030773  -0.00650772   0.04173986
1.7213878  -0.5421011   0.21237017   0.17845659  -0.00658024   0.03785556
0.8223798  1.1871316   0.18260510   0.17676370   0.00043706   0.03227776
1.9692706  0.8263717   0.19677131   0.18448402  -0.00199225   0.03629719
1.0651385  0.7838774   0.20198391   0.18411496  -0.00005901   0.03718826
1.7420036  0.2730135   0.23981327   0.18763107  -0.00528118   0.04496853
3.2698609  0.7249241   0.20439874   0.18464498  -0.00241801   0.03773535
2.3095870  -0.7606649   0.19011058   0.17814197  -0.00386480   0.03385174
0.8481030  0.0156190   0.25406745   0.18715306  -0.00392496   0.04753409
4.6006356  0.1008071   0.24769872   0.18393159   0.00702794   0.04551023
2.1427450  1.1758911   0.18150696   0.17798311  -0.00132495   0.03230342
2.3475831  0.1287011   0.24491882   0.18951145  -0.00558315   0.04638375
0.6619019  0.5310326   0.22198537   0.18600662  -0.00339292   0.04127924
5.8402748  -0.3940060   0.23233348   0.18955125   0.00305528   0.04402977
1.8163289  1.1828859   0.17968436   0.18050440  -0.00154559   0.03243143
5.0350342  -0.1375402   0.24509752   0.18738844   0.00647919   0.04588646
4.1639776  0.0919268   0.25242648   0.18531133   0.00478734   0.04675457
5.0532057  1.3063945   0.17332858   0.17321230  -0.00097760   0.03002169
0.4909355  -0.9980652   0.18587971   0.17717847   0.00227061   0.03292873
4.2707175  -0.7973373   0.20072749   0.18437524  -0.00021316   0.03700913
2.4041553  1.5068775   0.17706040   0.17318864   0.00062363   0.03066446
2.8044593  0.7857720   0.19883902   0.18451485  -0.00068187   0.03668829
0.8557887  0.5935390   0.21756607   0.18539198  -0.00232699   0.04032959
2.9721648  -0.5325470   0.21065621   0.18686396   0.00019634   0.03936401
2.3992391  -0.5770559   0.20467283   0.18203826  -0.00469670   0.03723623
0.1467401  1.1803768   0.17662165   0.17825398  -0.00233551   0.03147806
3.5458905  1.1860965   0.17794941   0.17591189  -0.00227081   0.03129826
2.6487204  -0.5587736   0.20627266   0.18452370  -0.00294501   0.03805352
5.8497314  -0.3055237   0.23848343   0.19029483   0.00342629   0.04537042
4.9511508  0.1814159   0.24072854   0.18380442   0.00789483   0.04418464
4.9567212  -0.5857513   0.21556540   0.18735784   0.00288438   0.04037955
0.7120784  -0.9071903   0.19186988   0.17628142   0.00089853   0.03382229
0.6965051  0.7574453   0.20340380   0.18295544  -0.00237914   0.03720817
6.1329325  -0.7772600   0.19920510   0.18485261   0.00128733   0.03682193
